dllldddLLDllUlluuurRRRRRRRRRRRurDllllllldddlldlluUUddlluuurRRRRRRRRRRRdRRlUllllllldddlldlddlUUUUUddlluuurRRRRRRRRRRRRllllllldddllLdddrUUllUUUddlluuurRRRRRRRRRRRuRRlDllllllldddlLLdlUUUddlluuurRRRRRRRRRRRdRURlllllllllllllldlluRRRRRRRRRRRRRRRluR
Moves: 242
Pushes: 104
States created total: 40,238,458
Unique visited total: 8,552,878
Reached duplicates total: 31,292,378
Created but not reached total: 393,202

Depth          Created        Unique         Duplicates     Unknown (not reached)
    ########
    #      #########
##### #### # ##  +*#
# $             $*.#
#   # ### #####  .*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $             @*.#
#   # ### ##### $.*#
### # ### #   ######
  #    $  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $              *.#
#   # ### ##### $.*#
### # ### #   ######
  #   $@  #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $              *.#
#   # ### ##### $.*#
### # ### #   ######
  #  $@   #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $              *.#
#   # ### ##### $.*#
### #$### #   ######
  #  @    #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $              *.#
#   #$### ##### $.*#
### #@### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $  $           *.#
#   #@### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $  @$          *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $   @$         *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $    @$        *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $     @$       *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $      @$      *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $       @$     *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $        @$    *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $         @$   *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $          @$  *.#
#   # ### ##### $.*#
### # ### #   ######
  #       #
  ###   ###
    #   #
    #   #
    #####

    ########
    #      #########
##### #### # ##  .*#
# $           @$ *.#
